DateTime,9.498067 76.338848
2012-08-20,0.9225
2012-08-21,0.0000
2012-08-22,1.4315
2012-08-23,0.0000
2012-08-24,11.9597
2012-08-25,50.0094
2012-08-26,22.7253
2012-08-27,3.4465
2012-08-28,4.2835
2012-08-29,25.5502
2012-08-30,24.0110
2012-08-31,21.9327
2012-09-01,9.4866
2012-09-02,2.7165
2012-09-03,11.6232
2012-09-04,41.1424
2012-09-05,22.7249
2012-09-06,0.2306
2012-09-07,26.7303
2012-09-08,1.8154
2012-09-09,0.4642
2012-09-10,5.4949
2012-09-11,0.4319
2012-09-12,0.0000
2012-09-13,0.0000
2012-09-14,65.1258
2012-09-15,17.7202
2012-09-16,8.9303
2012-09-17,5.6461
2012-09-18,0.0000
2012-09-19,0.0000
2012-09-20,0.0000
2012-09-21,0.0000
2012-09-22,6.5668
2012-09-23,0.0000
2012-09-24,0.0000
2012-09-25,0.0000
2012-09-26,0.0000
2012-09-27,0.0000
2012-09-28,0.0000
2012-09-29,0.4612
2012-09-30,1.5635
2012-10-01,0.0000
2012-10-02,0.0000
2012-10-03,0.0000
2012-10-04,0.0000
2012-10-05,0.0000
2012-10-06,0.0000
2012-10-07,0.0000
2012-10-08,0.0000
2012-10-09,1.4606
2012-10-10,0.0000
2012-10-11,4.0291
2012-10-12,2.9139
2012-10-13,4.2563
2012-10-14,6.1198
2012-10-15,10.9940
2012-10-16,1.3349
2012-10-17,5.3452
2012-10-18,2.8444
2012-10-19,12.2054
2012-10-20,2.4530
2012-10-21,14.8328
2012-10-22,33.4468
2012-10-23,4.0286
2012-10-24,13.6435
2012-10-25,0.0000
2012-10-26,0.0000
2012-10-27,7.3797
2012-10-28,0.0000
2012-10-29,15.1323
2012-10-30,0.2519
2012-10-31,2.9774
2012-11-01,17.8469
2012-11-02,5.4371
2012-11-03,0.0000
2012-11-04,0.0000
2012-11-05,0.0000
2012-11-06,0.0000
2012-11-07,0.0000
2012-11-08,15.3192
2012-11-09,3.2257
2012-11-10,0.2013
2012-11-11,0.0000
2012-11-12,13.4235
2012-11-13,3.1581
2012-11-14,0.0000
2012-11-15,0.0000
2012-11-16,0.0000
2012-11-17,0.0000
2012-11-18,0.0000
2012-11-19,0.0000
2012-11-20,0.0000
2012-11-21,0.0000
2012-11-22,0.1435
2012-11-23,0.0000
2012-11-24,0.0000
2012-11-25,0.6696
2012-11-26,0.0000
2012-11-27,0.0000
2012-11-28,0.0000
2012-11-29,0.0000
2012-11-30,0.0000
2012-12-01,0.0000
2012-12-02,0.0000
2012-12-03,0.0000
2012-12-04,0.0000
2012-12-05,0.0000
2012-12-06,0.0000
2012-12-07,0.0000
2012-12-08,0.0000
2012-12-09,0.0000
2012-12-10,0.0000
2012-12-11,0.0000
2012-12-12,0.0000
2012-12-13,0.0000
2012-12-14,0.0000
2012-12-15,0.0000
2012-12-16,0.0000
2012-12-17,0.0000
2012-12-18,0.0000
2012-12-19,0.0000
2012-12-20,0.0000
2012-12-21,0.0000
2012-12-22,0.0000
2012-12-23,0.0000
2012-12-24,0.0000
2012-12-25,0.0000
2012-12-26,0.0000
2012-12-27,0.0000
2012-12-28,1.0819
2012-12-29,0.0000
2012-12-30,2.0303
2012-12-31,0.0000
2013-01-01,7.4269
2013-01-02,0.0000
2013-01-03,0.0000
2013-01-04,0.0000
2013-01-05,0.0000
2013-01-06,0.0000
2013-01-07,0.0000
2013-01-08,3.3349
2013-01-09,0.0000
2013-01-10,0.0000
2013-01-11,0.0000
2013-01-12,0.0000
2013-01-13,0.0000
2013-01-14,0.0000
2013-01-15,0.0000
2013-01-16,0.0000
2013-01-17,0.0000
2013-01-18,0.0000
2013-01-19,0.0000
2013-01-20,0.0000
2013-01-21,0.0000
2013-01-22,0.0000
2013-01-23,0.0000
2013-01-24,0.0000
2013-01-25,0.0000
2013-01-26,0.0000
2013-01-27,0.0000
2013-01-28,0.0000
2013-01-29,0.0000
2013-01-30,0.0000
2013-01-31,0.0000
2013-02-01,0.0000
2013-02-02,0.0000
2013-02-03,0.0000
2013-02-04,0.0000
2013-02-05,0.0000
2013-02-06,14.2557
2013-02-07,37.0563
2013-02-08,0.0000
2013-02-09,0.0000
2013-02-10,0.0000
2013-02-11,0.0000
2013-02-12,0.0000
2013-02-13,0.0000
2013-02-14,0.0000
2013-02-15,0.0000
2013-02-16,0.0000
2013-02-17,0.0000
2013-02-18,19.1144
2013-02-19,18.0409
2013-02-20,18.0028
2013-02-21,0.0000
2013-02-22,0.0000
2013-02-23,0.0000
2013-02-24,0.0000
2013-02-25,0.0000
2013-02-26,0.0000
2013-02-27,0.0000
2013-02-28,0.0000
2013-03-01,0.0000
2013-03-02,0.0000
2013-03-03,0.0000
2013-03-04,0.0000
2013-03-05,0.0000
2013-03-06,0.5074
2013-03-07,0.2616
2013-03-08,0.0000
2013-03-09,22.3467
2013-03-10,3.0128
2013-03-11,1.1673
2013-03-12,13.9732
2013-03-13,0.0000
2013-03-14,0.0000
2013-03-15,0.0000
2013-03-16,0.0000
2013-03-17,0.0000
2013-03-18,0.0000
2013-03-19,6.3001
2013-03-20,2.2193
2013-03-21,0.0000
2013-03-22,0.0000
2013-03-23,0.0000
2013-03-24,0.0000
2013-03-25,0.0000
2013-03-26,9.9372
2013-03-27,16.0996
2013-03-28,0.0000
2013-03-29,0.0000
2013-03-30,0.0000
2013-03-31,0.0000
2013-04-01,0.0000
2013-04-02,0.0000
2013-04-03,0.0000
2013-04-04,0.0000
2013-04-05,0.0000
2013-04-06,0.0000
2013-04-07,0.0000
2013-04-08,0.0000
2013-04-09,0.2259
2013-04-10,10.7577
2013-04-11,0.0000
2013-04-12,0.0000
2013-04-13,0.0000
2013-04-14,0.4757
2013-04-15,0.4995
2013-04-16,0.8080
2013-04-17,0.0000
2013-04-18,0.0000
2013-04-19,0.0000
2013-04-20,0.0000
2013-04-21,0.0000
2013-04-22,0.0000
2013-04-23,0.0000
2013-04-24,0.9790
2013-04-25,0.1269
2013-04-26,2.8172
2013-04-27,0.7907
2013-04-28,0.0000
2013-04-29,12.2821
2013-04-30,0.0000
2013-05-01,6.2159
2013-05-02,17.5878
2013-05-03,0.0000
2013-05-04,0.0000
2013-05-05,0.3806
2013-05-06,0.1506
2013-05-07,29.0813
2013-05-08,9.6564
2013-05-09,4.4854
